date,category,vaccination,units
07-11-2022,15-18 Age 1st Dose,"6,20,26,931",vaccination in absolute number
07-11-2022,15-18 Age 2nd Dose,"5,33,78,001",vaccination in absolute number
06-11-2022,18+ Age 1st Dose,"92,20,27,610",vaccination in absolute number
06-11-2022,18+ Age 24hr Vaccination,"3,587",vaccination in absolute number
06-11-2022,18+ Age 2nd Dose,"86,45,96,257",vaccination in absolute number
06-11-2022,15-18 Age 1st Dose,"6,20,26,704",vaccination in absolute number
06-11-2022,15-18 Age 2nd Dose,"5,33,76,982",vaccination in absolute number
05-11-2022,18+ Age 1st Dose,"92,20,24,023",vaccination in absolute number
05-11-2022,18+ Age 24hr Vaccination,"3,482",vaccination in absolute number
05-11-2022,18+ Age 2nd Dose,"86,45,79,789",vaccination in absolute number
05-11-2022,15-18 Age 1st Dose,"6,20,25,355",vaccination in absolute number
05-11-2022,15-18 Age 2nd Dose,"5,33,72,239",vaccination in absolute number
04-11-2022,18+ Age 1st Dose,"92,20,20,541",vaccination in absolute number
04-11-2022,18+ Age 24hr Vaccination,"4,313",vaccination in absolute number
04-11-2022,18+ Age 2nd Dose,"86,45,62,768",vaccination in absolute number
04-11-2022,15-18 Age 1st Dose,"6,20,22,970",vaccination in absolute number
04-11-2022,15-18 Age 2nd Dose,"5,33,66,083",vaccination in absolute number
03-11-2022,18+ Age 1st Dose,"92,20,16,228",vaccination in absolute number
03-11-2022,18+ Age 24hr Vaccination,"4,366",vaccination in absolute number
03-11-2022,18+ Age 2nd Dose,"86,45,42,475",vaccination in absolute number
03-11-2022,15-18 Age 1st Dose,"6,20,20,401",vaccination in absolute number
03-11-2022,15-18 Age 2nd Dose,"5,33,60,308",vaccination in absolute number
02-11-2022,18+ Age 1st Dose,"92,20,11,862",vaccination in absolute number
02-11-2022,18+ Age 24hr Vaccination,"3,220",vaccination in absolute number
02-11-2022,18+ Age 2nd Dose,"86,45,25,120",vaccination in absolute number
02-11-2022,15-18 Age 1st Dose,"6,20,18,389",vaccination in absolute number
02-11-2022,15-18 Age 2nd Dose,"5,33,54,364",vaccination in absolute number
01-11-2022,18+ Age 1st Dose,"92,20,08,642",vaccination in absolute number
01-11-2022,18+ Age 24hr Vaccination,"2,868",vaccination in absolute number
01-11-2022,18+ Age 2nd Dose,"86,45,10,875",vaccination in absolute number
01-11-2022,15-18 Age 1st Dose,"6,20,16,257",vaccination in absolute number
01-11-2022,15-18 Age 2nd Dose,"5,33,50,130",vaccination in absolute number
31-10-2022,18+ Age 1st Dose,"92,20,05,774",vaccination in absolute number
31-10-2022,18+ Age 24hr Vaccination,483,vaccination in absolute number
31-10-2022,18+ Age 2nd Dose,"86,44,99,538",vaccination in absolute number
31-10-2022,15-18 Age 1st Dose,"6,20,15,432",vaccination in absolute number
31-10-2022,15-18 Age 2nd Dose,"5,33,47,278",vaccination in absolute number
30-10-2022,18+ Age 1st Dose,922005291,vaccination in absolute number
30-10-2022,18+ Age 24hr Vaccination,2835,vaccination in absolute number
30-10-2022,18+ Age 2nd Dose,864496389,vaccination in absolute number
30-10-2022,15-18 Age 1st Dose,62015305,vaccination in absolute number
30-10-2022,15-18 Age 2nd Dose,53346540,vaccination in absolute number
29-10-2022,18+ Age 1st Dose,922002456,vaccination in absolute number
29-10-2022,18+ Age 24hr Vaccination,3382,vaccination in absolute number
29-10-2022,18+ Age 2nd Dose,864481693,vaccination in absolute number
29-10-2022,15-18 Age 1st Dose,62013310,vaccination in absolute number
29-10-2022,15-18 Age 2nd Dose,53341499,vaccination in absolute number
28-10-2022,18+ Age 1st Dose,921999074,vaccination in absolute number
28-10-2022,18+ Age 24hr Vaccination,3939,vaccination in absolute number
